Type(s) d'enseignement,R̩seau d'enseignement,Nom de l'̩cole,Rue,Code postal,T̩l̩phone,Ville,Province,Confession
"Maternelle ordinaire, Primaire ordinaire, Maternelle ordinaire, Primaire ordinaire",Libre confessionnel,Ecole fondamentale libre Saint-Michel,Rue de l'Abbaye de Liessies 4,6044,071-46 12 98,Charleroi,Hainaut,Catholique
"Primaire ordinaire, Maternelle ordinaire",Officiel subventionn̩,Complexe scolaire de la Bass̩e,Rue L̩on Willocq 4A,6044,071-34 12 65,Charleroi,Hainaut,
"Maternelle ordinaire, Primaire ordinaire, Maternelle ordinaire, Primaire ordinaire",Libre confessionnel,Ecole fondamentale libre de Ransart,Rue Paul Pastur 53,6043,071-35 07 45,Charleroi,Hainaut,Catholique
"Maternelle ordinaire, Primaire ordinaire",Officiel subventionn̩,"Ecole communale ""Bois""",Rue de Soleilmont 26-28,6043,071-34 13 03,Charleroi,Hainaut,
"Maternelle ordinaire, Primaire ordinaire",Officiel subventionn̩,Ecole fondamentale Congr̬s-Dachsbeck,Rue de l'Enseignement 96,1000,02-211 01 00,Bruxelles,Bruxelles-capitale,
"Maternelle ordinaire, Primaire ordinaire",Officiel subventionn̩,Ecole communale de la Neuville,Rue du r̩solu 60,6061,071-41 89 19,Charleroi,Hainaut,
"Maternelle ordinaire, Primaire ordinaire",Officiel subventionn̩,Ecole communale des Cit̩s,Avenue du Centenaire 121 A,6061,071-31 16 48,Charleroi,Hainaut,
"Maternelle ordinaire, Primaire ordinaire",Officiel subventionn̩,Ecole fondamentale de la Solidarit̩,Rue de la Solidarit̩ 2,6061,071-31 32 76,Charleroi,Hainaut,
"Maternelle ordinaire, Primaire ordinaire, Maternelle ordinaire",Libre confessionnel,Ecole fondamentale libre des Soeurs de la Providence,Avenue Paul Pastur 135,6032,071-36 24 35,Charleroi,Hainaut,Catholique
"Maternelle ordinaire, Primaire ordinaire",Officiel subventionn̩,Ecole fondamentale Emile Jacqmain,Rue V̩ron̬se 21,1000,02-740 03 00,Bruxelles,Bruxelles-capitale,
